run,tag,step,wall_time,value
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,60,1782975126.4083014,0.10901538282632828
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,62,1782975146.7289217,0.10188606381416321
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,64,1782975166.5170243,0.13717548549175262
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,66,1782975186.3956482,0.11440528929233551
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,68,1782975206.5590823,0.10229936987161636
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,70,1782975226.7134917,0.13747546076774597
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,72,1782975246.817575,0.10674858838319778
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,74,1782975266.9829748,0.1304246485233307
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,76,1782975286.9962597,0.14477592706680298
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,78,1782975306.9358516,0.1346551477909088
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,80,1782975327.5994213,0.12091541290283203
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,82,1782975347.8550656,0.11373111605644226
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,84,1782975368.0436816,0.12407950311899185
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,86,1782975388.7178435,0.10090681910514832
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,88,1782975408.7199872,0.13951566815376282
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,90,1782975428.4331217,0.15871740877628326
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,92,1782975448.604523,0.13607653975486755
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,94,1782975468.5803266,0.17798098921775818
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,96,1782975488.7065773,0.17592263221740723
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,98,1782975509.2711468,0.0866849273443222
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,0,1782974529.0280318,0.3162972033023834
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,1,1782974538.957627,0.20637735724449158
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,2,1782974547.8931382,0.1839471310377121
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,3,1782974557.9969122,0.16067062318325043
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,4,1782974567.0965326,0.15757696330547333
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,5,1782974577.2232304,0.1533699482679367
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,6,1782974586.6207926,0.13986614346504211
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,7,1782974596.9043863,0.1435912698507309
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,8,1782974606.322172,0.1292468011379242
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,9,1782974616.8033934,0.12538765370845795
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,10,1782974625.884015,0.13222743570804596
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,11,1782974635.9945452,0.12995927035808563
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,12,1782974645.4973724,0.12025324255228043
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,13,1782974655.782989,0.11893212050199509
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,14,1782974665.366792,0.12793591618537903
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,15,1782974675.8752227,0.1257474273443222
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,16,1782974685.5351582,0.12178971618413925
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,17,1782974696.1488624,0.11913876980543137
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,18,1782974705.5817688,0.12082447856664658
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,19,1782974716.0010061,0.12566374242305756
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,20,1782974725.4257646,0.11851866543292999
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,21,1782974735.776847,0.1175026223063469
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,22,1782974745.3580236,0.11578359454870224
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,23,1782974755.8896766,0.12426785379648209
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,24,1782974765.447676,0.1150544211268425
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,25,1782974776.069351,0.11668460816144943
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,26,1782974785.931815,0.10987067222595215
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,27,1782974796.5001528,0.11411796510219574
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,28,1782974805.76447,0.10864366590976715
diffusion_level_0_02-07-08:41/Loss_train_BCE,Loss/train,29,1782974816.3380423,0.11589164286851883
